810,23,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,20/02/2014,
809,39,MUJER,PRINCIPAL,Mendoza,ESTRANGULAMIENTO -,29/08/2016,
808,34,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,15/01/2017,
806,18,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,12/01/2017,
805,23,Mujer,Principal,Buenos Aires,Disparo de bala,09/01/2017,
804,35,Mujer,Principal,Buenos Aires,Abuso sexual - Golpes - Asfixia,24/12/2016,
803,35,Mujer,Principal,Entre Ríos, Estrangulamiento,06/01/2017,
802,42,Mujer,Principal,Buenos Aires,Golpes,04/01/2017,
801,18,Mujer,Principal,Salta,Acuchillamiento - Golpes,05/01/2017,
800,Nacido muerto,Hombre,Vinculado,Santiago del Estero,Golpes,30/12/2016,
799,15,Mujer,Principal,Buenos Aires,Disparo de bala,29/12/2016,
798,22,Mujer,Principal,CABA,Disparo de bala,29/12/2016,
796,Confusa,Mujer,Principal,Buenos Aires,Acuchillamiento - Degollamiento,27/12/2016,
795,22,Travesti,Principal,Buenos Aires,Golpes,22/12/2016,
793,13,Mujer,Principal,Buenos Aires,Golpes - Asfixia,12/02/2013,
792,70,Hombre,Vinculado,Entre Ríos,Acuchillamiento,25/12/2016,
791,29,Mujer,Principal,Santiago del Estero,Acuchillamiento - Golpes ,24/12/2016,
790,15,Mujer,Vinculado,Santa Fé,Apuñalamiento,25/12/2016,
790,44,Mujer,Vinculado,Santa Fé,Apuñalamiento,25/12/2016,
790,32,Hombre,Vinculado,Santa Fé,Apuñalamiento,25/12/2016,
790,45,Hombre,Vinculado,Santa Fé,Apuñalamiento,25/12/2016,
789,30,Mujer,Principal,Mendoza,Se desconoce,10/12/2016,
788,37,Mujer,Principal,Tucumán,Estrangulamiento,21/12/2016,
787,49,Mujer,Principal,Corrientes,Quemaduras,09/10/2016,
786,16,Mujer,Principal,Chaco,Se desconoce,18/12/2016,
785,29,Mujer,Principal,Buenos Aires,Golpes - Degollamiento,06/11/2015,
784,47,Mujer,Principal,Misiones,Golpes - Abuso sexual - Empalamiento,18/12/2016,
783,36,Hombre,Vinculado,Neuquén,Disparo de bala,27/11/2016,
782,40,Mujer,Principal,Córdoba,Se desconoce,24/01/2014,
